firm,year,y,x
1,1,-0.7071274282416935,0.5466948093298707
1,2,-0.10834504439875159,0.3043578489631048
1,3,-2.617138352526318,-1.1217465716449955
1,4,-2.714266748705045,-0.9157117311829386
1,5,0.7764909195732885,0.5673600872781462
1,6,-0.8541981569485309,0.48441871705173456
2,1,2.3340297274718744,1.0824051701298816
2,2,-2.6816287177892404,-2.2349721654025054
2,3,1.9377664761047253,0.6137257714692409
2,4,-2.232202900279471,-2.4124817660513886
2,5,0.5659561535654918,-0.05619248811950657
2,6,-3.134582039730426,-2.480624084585887
3,1,3.5032312925036035,1.348281915243098
3,2,-1.2821394818540703,-0.8588094160206777
3,3,3.982057977888084,2.174576084017792
3,4,0.7621895705357781,0.21020079374027523
3,5,2.1119120093219768,0.8432831603214778
3,6,1.146590728697922,0.5735034118643726
4,1,2.1469921037370416,1.7975854062361283
4,2,-0.013826748333286759,-0.029638388270332904
4,3,-1.659354053004305,-1.141715082797342
4,4,-1.3687576439394498,-1.185882152733331
4,5,0.10036223684699941,-0.9171742457584934
4,6,-0.2709267351875304,0.052650061610921235
5,1,-0.19401507762610992,0.3506347558482142
5,2,-0.9364545959499543,-0.259445029011881
5,3,-0.9820376917311439,0.15523458083955566
5,4,0.3955142170613213,1.5529693472629076
5,5,-3.618625689298465,-1.7688255075629586
5,6,-3.080609712075187,-0.5514149862416227
6,1,3.1431550429786657,1.0262592269084683
6,2,-0.17712621673094756,-1.0660608532560127
6,3,3.811383450175167,1.0377617641232724
6,4,1.285049473850439,-0.424800626521208
6,5,0.2841438254839702,-0.5849302908007318
6,6,1.6428753111822418,-0.19356211553497682
7,1,0.8819191745184007,0.17278667373147089
7,2,-1.2394483776402978,-0.3412930654860201
7,3,3.0426117814717095,1.5198467925976922
7,4,-1.3279461144006435,-0.36040250800099527
7,5,2.104797972293453,1.196805764738728
7,6,1.7824107939790501,1.0997383289484357
8,1,0.9792211568963192,-0.20128900538686428
8,2,3.361262224032353,1.3971294839903257
8,3,4.790113546340361,1.8472524597804576
8,4,2.749545306794779,0.6593251585256762
8,5,3.0512202957719725,0.8903562474049924
8,6,-1.1073796639841824,-1.7331004786203248
9,1,1.9938584252409717,0.6095007518217401
9,2,3.444557836683105,1.1320764129598004
9,3,4.428577642562381,1.8614751521564687
9,4,1.8562746549044484,-0.4199949025143882
9,5,2.3364976203894745,0.24266986572683572
9,6,3.8340858288350357,1.233624266692747
10,1,0.0198653422116494,-0.6615567428361304
10,2,1.6866963857945756,0.666831993874493
10,3,-2.6943557406009067,-2.8975960480038756
10,4,2.5757977443524647,0.6290134099908832
10,5,-0.8674345409675077,-1.609352238226182
10,6,-2.514046008373204,-1.64413471118038
11,1,-0.23694216428068132,-0.3124223378405143
11,2,0.776107970773885,-0.49474574888162626
11,3,1.296677561107346,-0.0005655605321230105
11,4,-2.5392859028884947,-2.5270714567959067
11,5,-0.12316793283925148,-1.0773331590483546
11,6,3.527692867397398,1.8268447990865608
12,1,1.6693702178609016,-0.0034569477574328926
12,2,0.7801231774084967,-1.0609045187759654
12,3,2.357308427437014,0.7164387133526796
12,4,2.0365765473797985,-0.23174716780021826
12,5,3.5067466518808277,0.7873794491761389
12,6,0.5411549727112576,-0.34310673331541663
13,1,4.41047859029519,1.9064239970431653
13,2,2.1382850017245243,0.19594610890845515
13,3,2.114964277294337,0.3494399453206961
13,4,-1.4530118568417816,-1.8204279972056467
13,5,-0.171750671707176,-0.9470563111903616
13,6,2.5034842287361054,1.049816687463589
14,1,0.0609850380657605,-0.8464097980780796
14,2,2.6514923402853876,0.9524240947839412
14,3,-0.3614829343407102,-1.7392849945210138
14,4,1.5839169106289177,-0.12169417260233076
14,5,2.4453348246602378,0.8527750745611803
14,6,1.9223820706203483,0.08905106923140994
15,1,-1.1396941729387429,-0.3897264490229021
15,2,0.8047089421878423,0.8815750536928294
15,3,2.3424259896922788,1.784612401676478
15,4,0.5223832012546334,0.4736245118177991
15,5,2.44717392280139,1.5646071123037484
15,6,1.2471681012507485,0.992847855031292
16,1,0.11390255058351845,-0.5569346455832338
16,2,1.434429416924098,0.26503647031669314
16,3,3.219336340050474,1.5015685947845274
16,4,-1.2955615160024803,-1.2010059748658735
16,5,-0.5629275877583577,-1.1591050732034571
16,6,-0.15296797067986329,-0.571992880655174
17,1,-4.007470060588734,-2.333973212737229
17,2,-0.36666435599685376,-0.16862636949857085
17,3,0.8452716508882491,0.7729327784548723
17,4,0.13215462262350702,0.07297662847478588
17,5,-1.3211736382413923,-1.6103228637151952
17,6,-2.983340355787548,-2.2537521841227703
18,1,3.772752358673612,0.21677955894163997
18,2,5.032802856476809,0.7001355069475316
18,3,5.787726776023133,1.178199263645443
18,4,3.3778269660918956,-0.2777911567830967
18,5,1.2776069793880311,-1.7607331245481015
18,6,4.06127589609591,0.1902324425909907
19,1,-0.8168288682653702,-0.8973514654713385
19,2,-2.212638851796321,-1.757211588583381
19,3,2.472555811389255,1.1641098020435843
19,4,-1.4415682111197663,-1.7740852313179638
19,5,2.505985793834859,0.9027550268786733
19,6,-0.8865684030722535,-1.096182399752595
20,1,2.424062702999726,0.37566212903729146
20,2,4.093408658399364,0.631780983422596
20,3,3.3777674133787343,0.6684543371716936
20,4,1.6705974360400733,-0.5458133771480481
20,5,2.5436966691657306,0.7217060275057615
20,6,-0.8023570306739822,-1.7712456417116744
21,1,-3.826532023047521,-2.1035715365868453
21,2,-2.612231488894563,-1.0385555541730285
21,3,0.08599576131669892,0.5792355159215262
21,4,-0.33513543107397514,0.36751818460769975
21,5,0.8500465350497568,0.2583819067363226
21,6,-0.49874562544942114,0.32362746828555716
22,1,-1.5097530793219556,-1.0321926039420186
22,2,1.755009806745429,0.5950631671109637
22,3,-1.3136578852330174,-1.0493359658885195
22,4,-0.8710493192064461,-1.389004412050653
22,5,0.8161461218909561,0.22189125583215408
22,6,-0.657871198440248,-0.8785540332418371
23,1,-3.1584133056168997,-1.4935227275358456
23,2,-0.6388060440321985,-0.2342955664884054
23,3,0.9175925461996082,0.5337217652061484
23,4,-1.088645302737649,-0.3326221736092843
23,5,-0.8165876488998911,-1.004854435195507
23,6,0.1465810390802499,-0.07571547716596307
24,1,2.964176236035798,1.2606702350955483
