date,Mkt-RF,SMB,HML,RF,year
192607,0.028900000000000002,-0.0255,-0.0239,0.0022,1926
192608,0.0264,-0.011399999999999999,0.0381,0.0025,1926
192609,0.0038,-0.013600000000000001,0.0005,0.0023,1926
192610,-0.0327,-0.0014000000000000002,0.008199999999999999,0.0032,1926
192611,0.0254,-0.0011,-0.0060999999999999995,0.0031,1926
192612,0.0262,-0.0007000000000000001,0.0006,0.0028000000000000004,1926
192701,-0.0005,-0.0032,0.0458,0.0025,1927
192702,0.0417,0.0007000000000000001,0.027200000000000002,0.0026,1927
192703,0.0014000000000000002,-0.0177,-0.023799999999999998,0.003,1927
192704,0.004699999999999999,0.0039000000000000003,0.006500000000000001,0.0025,1927
192705,0.0545,0.0155,0.048,0.003,1927
192706,-0.023799999999999998,0.0051,-0.0172,0.0026,1927
192707,0.0726,-0.0327,-0.0113,0.003,1927
192708,0.0199,-0.0077,-0.0385,0.0028000000000000004,1927
192709,0.04769999999999999,-0.036000000000000004,-0.005699999999999999,0.0021,1927
192710,-0.0429,0.0203,-0.0447,0.0025,1927
192711,0.0652,0.0278,-0.0008,0.0021,1927
192712,0.0209,0.0098,-0.011200000000000002,0.0022,1927
192801,-0.005699999999999999,0.042,-0.0070999999999999995,0.0025,1928
192802,-0.0169,-0.0206,-0.0064,0.0033,1928
192803,0.08789999999999999,-0.0038,-0.0111,0.0029,1928
192804,0.0425,0.0414,0.0325,0.0022,1928
192805,0.0152,0.027000000000000003,-0.03,0.0032,1928
192806,-0.049,-0.037599999999999995,0.0028000000000000004,0.0031,1928
192807,0.0063,-0.013600000000000001,-0.0054,0.0032,1928
192808,0.0669,-0.0204,-0.0213,0.0032,1928
192809,0.0287,0.024,0.0084,0.0027,1928
192810,0.0131,0.022400000000000003,-0.021400000000000002,0.0040999999999999995,1928
192811,0.1182,-0.0182,0.0265,0.0038,1928
192812,0.004,-0.009300000000000001,-0.0052,0.0006,1928
192901,0.0466,-0.0335,-0.012199999999999999,0.0034000000000000002,1929
192902,-0.0034000000000000002,-0.0033,0.0166,0.0036,1929
192903,-0.0085,-0.049100000000000005,0.015700000000000002,0.0034000000000000002,1929
192904,0.0147,-0.011200000000000002,0.009300000000000001,0.0036,1929
192905,-0.0638,-0.054400000000000004,-0.0152,0.0044,1929
192906,0.09699999999999999,-0.021400000000000002,-0.0274,0.0052,1929
192907,0.044800000000000006,-0.0387,0.026699999999999998,0.0033,1929
192908,0.0814,-0.0975,0.0032,0.004,1929
192909,-0.0545,0.0134,-0.0079,0.0034999999999999996,1929
192910,-0.2007,-0.0495,0.0754,0.0046,1929
192911,-0.12869999999999998,-0.0088,0.050499999999999996,0.0037,1929
192912,0.0128,-0.040999999999999995,-0.0014000000000000002,0.0037,1929
193001,0.056100000000000004,0.0349,-0.0103,0.0014000000000000002,1930
193002,0.025,0.0028000000000000004,0.0028000000000000004,0.003,1930
193003,0.0709,0.0339,0.003,0.0034999999999999996,1930
193004,-0.020499999999999997,-0.0034999999999999996,-0.0037,0.0021,1930
193005,-0.0166,-0.021,-0.0074,0.0026,1930
193006,-0.16079999999999997,-0.0359,0.024,0.0027,1930
193007,0.0412,-0.0027,-0.017,0.002,1930
193008,0.003,-0.0216,-0.0059,0.0009,1930
193009,-0.1281,-0.0241,-0.0509,0.0022,1930
193010,-0.08779999999999999,-0.002,-0.0109,0.0009,1930
193011,-0.0304,0.0246,-0.0381,0.0013,1930
193012,-0.0786,-0.0467,-0.056900000000000006,0.0014000000000000002,1930
193101,0.0625,0.0347,0.0824,0.0015,1931
193102,0.10880000000000001,0.0345,0.0163,0.0004,1931
193103,-0.0635,0.028300000000000002,-0.032,0.0013,1931
193104,-0.1,-0.042199999999999994,-0.0433,0.0008,1931
193105,-0.1329,0.052199999999999996,-0.06309999999999999,0.0009,1931
193106,0.1393,-0.0501,0.11699999999999999,0.0008,1931
193107,-0.0663,0.0149,-0.022000000000000002,0.0006,1931
193108,0.004,-0.0208,-0.017,0.0003,1931
193109,-0.2874,-0.0102,-0.0724,0.0003,1931
193110,0.0799,-0.0028000000000000004,0.031200000000000002,0.001,1931
193111,-0.09140000000000001,0.044000000000000004,-0.0519,0.0017000000000000001,1931
193112,-0.1352,-0.0087,-0.0919,0.0012,1931
193201,-0.015700000000000002,0.0441,0.0974,0.0023,1932
193202,0.0545,-0.025099999999999997,-0.0147,0.0023,1932
193203,-0.113,0.0213,-0.022000000000000002,0.0016,1932
193204,-0.1794,0.009300000000000001,0.0207,0.0011,1932
193205,-0.2051,0.0421,-0.0408,0.0006,1932
193206,-0.0077,0.004,0.058499999999999996,0.0002,1932
193207,0.3361,-0.0429,0.3552,0.0002,1932
193208,0.3712,0.1346,0.342,0.0003,1932
193209,-0.0294,-0.0215,-0.0737,0.0003,1932
193210,-0.1315,-0.0259,-0.1047,0.0002,1932
193211,-0.0588,0.0183,-0.1319,0.0002,1932
193212,0.044199999999999996,-0.083,-0.0754,0.0001,1932
193301,0.0124,0.0073,0.0646,0.0001,1933
193302,-0.15289999999999998,-0.0263,-0.0292,-0.0003,1933
193303,0.030600000000000002,0.036000000000000004,0.0709,0.0004,1933
193304,0.3881,0.0302,0.201,0.001,1933
193305,0.2143,0.35960000000000003,0.1866,0.0004,1933
193306,0.131,0.08650000000000001,-0.016399999999999998,0.0002,1933
193307,-0.0964,-0.0106,0.033,0.0002,1933
193308,0.1204,-0.0516,0.0305,0.0003,1933
193309,-0.1065,-0.0058,-0.11710000000000001,0.0002,1933
193310,-0.0836,-0.0007000000000000001,-0.0849,0.0001,1933
193311,0.09970000000000001,-0.0637,0.0227,0.0002,1933
193312,0.0182,0.0036,-0.0199,0.0002,1933
193401,0.126,0.1321,0.162,0.0005,1934
193402,-0.025099999999999997,0.050499999999999996,0.018600000000000002,0.0002,1934
193403,0.0009,0.0245,-0.0259,0.0002,1934
193404,-0.0179,0.0273,-0.0383,0.0001,1934
193405,-0.0726,-0.0031,-0.059000000000000004,0.0001,1934
193406,0.0271,-0.0218,-0.0285,0.0001,1934
193407,-0.1094,-0.0712,-0.1076,0.0001,1934
193408,0.0558,0.0555,0.0017000000000000001,0.0001,1934
193409,-0.0024,-0.015,-0.0121,0.0001,1934
193410,-0.0166,0.0123,-0.05,0.0001,1934
193411,0.0833,0.066,-0.021400000000000002,0.0001,1934
193412,0.0036,0.032799999999999996,-0.0316,0.0001,1934
193501,-0.0346,0.0096,-0.0177,0.0001,1935
193502,-0.0196,0.0032,-0.0748,0.0002,1935
193503,-0.0371,-0.034300000000000004,-0.050300000000000004,0.0001,1935
193504,0.0906,-0.0158,0.0437,0.0001,1935
193505,0.0346,-0.032,0.0245,0.0001,1935
193506,0.0593,-0.0253,-0.0152,0.0001,1935
193507,0.0754,0.0202,0.0658,0.0001,1935
193508,0.0265,0.0601,0.0629,0.0001,1935
193509,0.0262,0.0155,-0.0412,0.0001,1935
193510,0.0703,0.026699999999999998,-0.0233,0.0001,1935
193511,0.0487,0.04650000000000001,0.122,0.0002,1935
193512,0.0455,0.0009,0.0083,0.0001,1935
193601,0.0689,0.055999999999999994,0.10949999999999999,0.0001,1936
193602,0.024900000000000002,0.0084,0.0433,0.0001,1936
193603,0.0096,0.0069,-0.0159,0.0002,1936
193604,-0.0814,-0.0599,-0.022799999999999997,0.0002,1936
193605,0.0519,0.0089,0.0255,0.0002,1936
193606,0.024,-0.0322,-0.011899999999999999,0.0003,1936
193607,0.0668,0.010700000000000001,0.0253,0.0001,1936
193608,0.009899999999999999,0.0060999999999999995,0.0379,0.0002,1936
193609,0.0097,0.031200000000000002,0.009399999999999999,0.0001,1936
193610,0.071,-0.0235,0.025099999999999997,0.0002,1936
193611,0.0326,0.087,-0.0125,0.0001,1936
193612,0.002,0.0387,0.0414,0.0,1936
193701,0.0335,0.0449,0.0278,0.0001,1937
193702,0.0108,0.0064,0.042800000000000005,0.0002,1937
193703,-0.0026,-0.0125,0.0704,0.0001,1937
193704,-0.0736,-0.037200000000000004,-0.0346,0.0003,1937
193705,-0.0083,-0.0069,-0.0346,0.0006,1937
193706,-0.042300000000000004,-0.0391,-0.031200000000000002,0.0003,1937
193707,0.0891,0.0088,0.008100000000000001,0.0003,1937
193708,-0.048799999999999996,0.0045000000000000005,-0.0225,0.0002,1937
193709,-0.1362,-0.07,-0.0455,0.0004,1937
193710,-0.0959,0.0045000000000000005,-0.0152,0.0002,1937
193711,-0.0833,-0.0356,0.0022,0.0002,1937
193712,-0.0429,-0.07919999999999999,-0.004699999999999999,0.0,1937
193801,0.0048,0.0484,-0.015300000000000001,0.0,1938
193802,0.058499999999999996,0.0040999999999999995,-0.0197,0.0,1938
193803,-0.2391,-0.043,-0.0363,-0.0001,1938
193804,0.1448,0.064,0.0045000000000000005,0.0001,1938
193805,-0.038599999999999995,-0.024700000000000003,-0.0024,0.0,1938
193806,0.2389,0.042199999999999994,0.0037,0.0,1938
193807,0.0733,0.0669,0.022799999999999997,-0.0001,1938
193808,-0.0268,-0.0248,-0.0478,0.0,1938
193809,0.0083,-0.0268,-0.017,0.0002,1938
193810,0.078,0.0581,0.0504,0.0001,1938
193811,-0.0174,-0.0255,-0.012,-0.0006,1938
193812,0.0416,-0.0181,0.0054,0.0,1938
193901,-0.059699999999999996,-0.0154,-0.0392,-0.0001,1939
193902,0.0351,0.0060999999999999995,0.0292,0.0001,1939
193903,-0.12029999999999999,-0.0475,-0.0827,-0.0001,1939
193904,-0.0018,0.0167,-0.003,0.0,1939
193905,0.0681,0.027999999999999997,0.004699999999999999,0.0001,1939
193906,-0.0533,-0.0109,-0.0528,0.0001,1939
193907,0.10220000000000001,0.0418,0.0013,0.0,1939
193908,-0.0668,-0.045899999999999996,-0.024700000000000003,-0.0001,1939
193909,0.1689,0.2057,0.21760000000000002,0.0001,1939
193910,-0.0053,-0.0008,-0.0479,0.0,1939
193911,-0.0365,-0.0512,-0.063,0.0,1939
193912,0.029300000000000003,0.0092,-0.04190000000000001,0.0,1939
194001,-0.0241,0.0023,-0.0077,0.0,1940
194002,0.0144,0.0252,-0.0036,0.0,1940
194003,0.020499999999999997,0.0124,-0.0127,0.0,1940
194004,0.0022,0.039900000000000005,-0.0022,0.0,1940
194005,-0.22,-0.0662,-0.037200000000000004,-0.0002,1940
194006,0.0669,-0.0232,0.048799999999999996,0.0,1940
194007,0.0317,0.009899999999999999,-0.0075,0.0001,1940
194008,0.022099999999999998,-0.0018,0.0055000000000000005,-0.0001,1940
194009,0.0239,0.032,-0.011399999999999999,0.0,1940
194010,0.030299999999999997,0.0033,0.04650000000000001,0.0,1940
194011,-0.0165,0.019799999999999998,0.0016,0.0,1940
194012,0.0069,-0.0212,-0.0089,0.0,1940
194101,-0.0418,0.0098,0.0383,-0.0001,1941
194102,-0.0143,-0.015600000000000001,0.0089,-0.0001,1941
194103,0.0084,0.0009,0.0305,0.0001,1941
194104,-0.0546,-0.0167,0.0341,-0.0001,1941
194105,0.0137,-0.0064,0.0060999999999999995,0.0,1941
194106,0.0583,0.0131,0.0060999999999999995,0.0,1941
194107,0.0587,0.0574,0.0724,0.0003,1941
194108,-0.0017000000000000001,-0.0043,-0.011000000000000001,0.0001,1941
194109,-0.0088,-0.0098,-0.0027,0.0001,1941
194110,-0.0526,-0.0207,0.0163,0.0,1941
194111,-0.0195,-0.0108,-0.006,0.0,1941
194112,-0.048799999999999996,-0.0286,-0.0594,0.0001,1941
194201,0.0079,0.0745,0.10099999999999999,0.0002,1942
194202,-0.0246,0.0174,-0.0115,0.0001,1942
194203,-0.066,0.0187,-0.0060999999999999995,0.0001,1942
194204,-0.0437,-0.0044,0.0209,0.0001,1942
194205,0.0596,-0.032,-0.026699999999999998,0.0003,1942
194206,0.0268,-0.0128,0.0043,0.0002,1942
194207,0.0351,-0.0015,0.0241,0.0003,1942
194208,0.018000000000000002,-0.0004,0.013300000000000001,0.0003,1942
194209,0.0262,0.0063,0.0239,0.0003,1942
194210,0.0682,0.0169,0.0647,0.0003,1942
194211,0.0013,-0.014199999999999999,-0.042300000000000004,0.0003,1942
194212,0.051399999999999994,-0.0255,0.0055000000000000005,0.0003,1942
194301,0.0713,0.0877,0.0823,0.0003,1943
194302,0.0616,0.0484,0.0652,0.0003,1943
194303,0.0603,0.0513,0.054900000000000004,0.0003,1943
194304,0.008100000000000001,0.0209,0.058600000000000006,0.0003,1943
194305,0.0575,0.0446,0.032799999999999996,0.0002,1943
194306,0.0182,-0.0098,-0.0075,0.0003,1943
194307,-0.0478,-0.0231,-0.0223,0.0003,1943
194308,0.013000000000000001,-0.0064,-0.004699999999999999,0.0003,1943
194309,0.024,0.013000000000000001,0.014199999999999999,0.0003,1943
194310,-0.0115,0.006,0.0168,0.0003,1943
194311,-0.0593,-0.015700000000000002,-0.039900000000000005,0.0003,1943
194312,0.0637,0.031,0.028999999999999998,0.0003,1943
194401,0.0174,0.026099999999999998,0.0229,0.0003,1944
194402,0.0037,-0.0008,0.0085,0.0003,1944
194403,0.0246,0.0165,0.0335,0.0002,1944
194404,-0.0169,-0.0131,-0.0106,0.0003,1944
194405,0.0508,0.0168,0.0103,0.0003,1944
194406,0.055099999999999996,0.041100000000000005,0.0189,0.0003,1944
194407,-0.0149,0.0058,-0.0042,0.0003,1944
194408,0.015600000000000001,0.023700000000000002,-0.0144,0.0003,1944
194409,0.0002,0.0048,-0.012,0.0002,1944
194410,0.0016,-0.0016,-0.0036,0.0003,1944
194411,0.0171,0.0034999999999999996,0.023799999999999998,0.0003,1944
194412,0.0404,0.0223,0.0587,0.0002,1944
194501,0.020099999999999996,0.0245,0.0068000000000000005,0.0003,1945
194502,0.0623,0.016200000000000003,0.0443,0.0002,1945
194503,-0.0391,-0.0166,-0.015700000000000002,0.0002,1945
194504,0.078,0.0048,0.0311,0.0003,1945
194505,0.0174,0.015300000000000001,0.0034000000000000002,0.0003,1945
194506,0.0039000000000000003,0.031400000000000004,0.042699999999999995,0.0002,1945
194507,-0.0217,-0.014499999999999999,-0.0273,0.0003,1945
194508,0.0622,0.016,-0.044000000000000004,0.0003,1945
194509,0.04769999999999999,0.0174,0.0046,0.0003,1945
194510,0.038900000000000004,0.0236,0.021400000000000002,0.0003,1945
194511,0.054000000000000006,0.0418,0.0435,0.0002,1945
194512,0.011899999999999999,0.0216,-0.024,0.0003,1945
194601,0.062400000000000004,0.0398,0.022799999999999997,0.0003,1946
194602,-0.0584,-0.0068000000000000005,-0.0127,0.0003,1946
194603,0.0588,0.003,-0.0037,0.0003,1946
194604,0.042300000000000004,0.023700000000000002,0.0046,0.0003,1946
194605,0.0394,0.0148,0.011000000000000001,0.0003,1946
194606,-0.038900000000000004,-0.0155,-0.0053,0.0003,1946
194607,-0.0269,-0.0191,0.0005,0.0003,1946
194608,-0.0646,-0.018000000000000002,0.006,0.0003,1946
194609,-0.1018,-0.0443,-0.0197,0.0003,1946
194610,-0.0144,0.0017000000000000001,0.0345,0.0003,1946
194611,-0.0002,-0.0037,0.015300000000000001,0.0003,1946
194612,0.049699999999999994,0.0,-0.0141,0.0003,1946
194701,0.0125,0.022000000000000002,-0.0074,0.0003,1947
194702,-0.0109,0.006999999999999999,0.0014000000000000002,0.0003,1947
194703,-0.0168,-0.016,0.0060999999999999995,0.0003,1947
194704,-0.048,-0.0397,0.0085,0.0003,1947
194705,-0.0096,-0.0327,0.0032,0.0003,1947
194706,0.053,-0.0033,-0.0064,0.0003,1947
194707,0.041299999999999996,0.0147,0.0276,0.0003,1947
194708,-0.0174,0.0033,0.0014000000000000002,0.0003,1947
194709,-0.0054,0.016200000000000003,0.013600000000000001,0.0006,1947
194710,0.024700000000000003,0.0052,0.0011,0.0006,1947
194711,-0.0199,-0.0169,0.010700000000000001,0.0006,1947
194712,0.0301,-0.024700000000000003,0.0374,0.0008,1947
194801,-0.0393,0.0252,0.0138,0.0007000000000000001,1948
194802,-0.0438,-0.017,0.0005,0.0007000000000000001,1948
194803,0.08109999999999999,0.0012,0.0452,0.0009,1948
194804,0.0365,-0.016399999999999998,0.0412,0.0008,1948
194805,0.0732,0.0087,-0.0127,0.0008,1948
194806,-0.0011,-0.0178,0.028399999999999998,0.0009,1948
