entity,time,x,y
1,1,0.0012301533574825742,0.20313861038960904
1,2,0.2987455375084699,-0.46330757653841514
1,3,-0.2741378553622176,0.12726841122583082
1,4,-0.8905918387572742,-1.18719452785014
1,5,-0.45467078517172255,-0.5793015965026732
1,6,-0.9916465549964624,-0.1961959728044967
2,1,0.060143602597438485,0.8987638721004078
2,2,1.3402152455545335,1.145222007454132
2,3,-0.49220651855132963,-1.323527792484255
2,4,-0.6204748998199404,-0.7946423659870495
2,5,0.4898420501851982,0.6469034225734218
2,6,0.35688700816006075,-1.9924197841744944
3,1,0.10541424899789856,-0.46316986495236695
3,2,-0.9304680447082047,-0.09728692567008902
3,3,-0.02925182246327349,1.2570149772868198
3,4,0.6953031944582878,0.6894039005707556
3,5,-1.344214547285082,-0.32721342022219785
3,6,-0.45761576104021817,-0.3685758940999591
4,1,-1.901222739800844,-0.25019540051792494
4,2,-1.289537739784976,1.5235294004561601
4,3,-1.8417350377917323,-0.4280249425728672
4,4,-0.23509113107468127,-0.3036803883647294
4,5,-1.2674464814437032,0.35258906728526535
4,6,0.2712643588217015,-0.12077044508645512
5,1,0.15675108662422516,-0.19728422796572256
5,2,-0.18693094462995438,-1.1140671431510563
5,3,-2.516759710820513,-0.011521468038548173
5,4,-0.5386928958466366,-0.4435812229744192
5,5,-0.048500945401071985,1.1661277761902227
5,6,0.11330898600330756,0.6530885027011638
6,1,-1.5301357655053935,-0.024143613009932233
6,2,-0.47775327603393064,0.6683810232673438
6,3,-0.9785190780566395,-0.3398695517131494
6,4,-0.8088372394255993,1.052126358426947
6,5,1.0608986233860787,-0.005399560671626605
6,6,-0.8075346753318965,0.5833823541804138
7,1,-0.0325217049455206,-1.2908932453234871
7,2,0.8843898673831739,0.34668004887842974
7,3,-0.583600432743302,-1.6882041173665416
7,4,-0.11170194958415963,-2.0353289449399323
7,5,0.11046414324948059,-0.3044768777114372
7,6,0.06378177425506196,-0.8999276075985952
8,1,-1.2250558264176934,0.16405279571222256
8,2,0.0761402303770081,2.2447566264860495
8,3,1.3588234217415376,-0.8317231814120817
8,4,-1.5471446781284823,-0.6239435864439059
8,5,0.8593826880215982,0.2054039460646989
8,6,0.11935402569658124,0.49301329141235634
9,1,-0.6414703941072214,-0.1764060659057582
9,2,2.000416546342423,-0.20593033025321647
9,3,0.7622597120847118,0.7024629551205442
9,4,-1.1992889021052233,0.5199076370338984
9,5,0.07451622877146342,-1.0336758320736887
9,6,0.5766895836701853,-0.07918131861584184
10,1,-0.1887821253507493,0.035286848661474135
10,2,0.682910267195206,-1.0544846220491104
10,3,-0.06651732014941557,0.25983910067436333
10,4,0.6672475608343279,-0.8579564771765439
10,5,1.438522591656152,0.9720667079170427
10,6,-0.6756622510056528,0.1927459126050724
