y,x,entity,time
3.1422311172561277,-0.9431109578561546,0,0
3.4220359781190948,-0.8473232381865939,0,1
3.935459856021142,-0.5738908819705546,0,2
3.9201398067632134,-0.49495481166989963,0,3
-3.343086741034084,-0.23118001965884172,1,0
-2.980514235549304,-0.03525079303512691,1,1
-2.7642639092893555,0.16798215915209525,1,2
-2.561278372932621,0.26764308238328016,1,3
1.8950808121535863,0.4312841911798853,2,0
2.0219640763252853,0.5718567712876604,2,1
2.4716228714804798,0.7788225925255035,2,2
3.053388766712262,1.0121055582595302,2,3
