entity,time,y,x,w
1,1,0.7736404682584797,-1.738266398496882,-1.7382663984600635
1,2,0.974843633956707,-1.3366427931811324,-1.3366427932297855
1,3,0.8809891869098891,-1.361106708564987,-1.361106708587264
1,4,1.9077770458161258,-0.35161713127840977,-0.35161713144066087
1,5,0.08060007922525658,-2.3125815796967033,-2.3125815797457587
2,1,0.23880623767283748,-0.18889719608460778,-0.18889719606861988
2,2,-0.4397104544750085,-0.957229228096346,-0.9572292282214266
2,3,1.4228194641070322,0.8936001849299788,0.8936001849373685
2,4,1.2939366174600249,0.956847237579234,0.9568472376455633
2,5,1.806896641397782,1.3922582291390866,1.3922582291084107
3,1,1.9146055360452428,0.7674701130947078,0.7674701130326294
3,2,1.2146881760559365,-0.053029778757267734,-0.05302977881928015
3,3,2.0052620943531343,0.8597939889439096,0.8597939890380238
3,4,2.6459848884456068,1.5054811563838433,1.5054811562303927
3,5,0.8192765475852467,-0.6535945334170485,-0.6535945334470937
4,1,0.1372764855344314,0.610351145830187,0.6103511457882465
4,2,-0.45466951561212643,-0.042673827710852374,-0.04267382769645267
4,3,1.2175130141422166,1.4400167254152394,1.4400167254082823
4,4,-1.2346246868660944,-0.8368950200968434,-0.836895020207594
4,5,-0.7892744188970355,-0.3015466095655266,-0.3015466093615176
5,1,2.1862793114736894,0.36233859316943917,0.36233859318720035
5,2,2.002142793457808,0.25811026702099754,0.2581102668867937
5,3,0.28846760479583633,-1.6394479624476481,-1.6394479625367915
5,4,2.1456090868417284,0.360155232237386,0.36015523224714446
5,5,1.876258576192785,-0.11849769951697288,-0.11849769945567588
6,1,0.24531565684722573,-0.23974784920156203,-0.23974784933577753
6,2,0.32887540499837736,-0.15530166200229314,-0.15530166193115946
6,3,0.6965733252464821,0.21897170507821917,0.21897170494088997
6,4,-1.2342869132881609,-1.8163956614546406,-1.8163956615340795
6,5,2.0906995351327904,1.5524665679968663,1.5524665680821765
7,1,-0.6745009892363842,-0.8614416732885682,-0.8614416731184685
7,2,-2.2469053771354996,-2.2413678581872873,-2.2413678581957583
7,3,-0.0031532360661361628,-0.08197449383484104,-0.0819744938657949
7,4,1.7010740342949906,1.4574804175244145,1.4574804176512044
7,5,-0.49284169648425047,-0.5186009711032398,-0.5186009712104377
8,1,0.7027197090860442,1.5512756209056682,1.5512756209334604
8,2,0.8123130338218507,1.5569420010285768,1.5569420010519013
8,3,-1.709204530343582,-0.8627319171113763,-0.8627319170104442
8,4,-3.4303885233111995,-2.4651208152773547,-2.465120815247497
8,5,-2.343234949847661,-1.2351827568078488,-1.2351827568344882
