firm,year,y,x,z
1,1,4.505241243414026,0.8681727185346364,0.679986958380327
1,2,4.069088031822777,0.7023144053950916,0.8710278997413949
1,3,2.043319016776391,-0.22845229651185125,0.41446418865976964
1,4,2.5188365369098666,-0.40726945416392163,-0.9684071057228492
1,5,2.846437230993275,0.5948364220725675,0.20582924880803444
2,1,0.31861681056255586,-0.2931783807374284,-0.08577238765350094
2,2,1.7256569716658796,0.8913220466024194,0.13101814792790356
2,3,3.2830780487866464,1.106419841627127,1.0968744709991345
2,4,3.403349380727933,1.0875855652977373,0.08658316983657895
2,5,-2.586583397421251,-1.2809673354864188,-1.2258711418828423
3,1,1.89331695080788,0.337006489779084,0.2606327639376189
3,2,0.47373479164788923,-0.14937312874712888,-0.017273475760922894
3,3,1.3751461023510079,0.3323321707739869,0.09216889010980349
3,4,4.253729426016403,1.3168899607513624,1.9076755144024675
3,5,-0.8885524097678674,-0.5386699941996789,-1.1025617689967706
4,1,-1.683244608453367,-0.8040469031026312,-0.4678431629854076
4,2,-0.692575958100337,-0.11038374834173498,-0.1879622875707186
4,3,0.9520830721892659,0.7367474068389137,0.959035986080934
4,4,0.9000436268289874,0.11034634237831602,-0.2747725558146836
4,5,-1.7162522617072473,0.25934648339522914,1.2313046634831513
5,1,-0.7104457463337965,-0.050952219465943915,0.5383908903194493
5,2,1.2676268911424557,0.5583697123294482,-0.3265143679821864
5,3,-0.16724156061442277,0.06689037224105221,1.0512706095726823
5,4,3.1673835558629784,0.7222926632068627,1.0458535925701986
5,5,-1.58858558566171,-0.7238977282171799,-0.5905181638712721
6,1,-0.11924028577754375,-0.6512713250437355,-0.09142442034612325
6,2,-0.08886865031801837,-0.3656255132568096,0.47564768406992997
6,3,-0.5027441393920293,-0.46774074431719714,-0.1732714133993744
6,4,1.6091397922802901,-0.3955946725985561,-0.05018690411501157
6,5,2.294023084871087,0.6572280091253209,-0.640543985238578
7,1,2.44280401313417,0.2278246721976096,1.0898206868126556
7,2,5.065008225942566,1.153878141052215,0.5084476954602432
7,3,3.886326677416507,1.2572475928707614,0.5987346059485892
7,4,3.72001701343242,0.5652327317200693,0.6704609341458794
7,5,-0.5351797448451414,-0.8579453063254358,-0.27660701884908007
8,1,-1.1614872486213923,0.02052926786536924,-0.24633262335073122
8,2,-3.4675511132819183,-0.8214998426186211,0.3762594606912565
8,3,-0.5696525614761763,0.17169134434439415,-0.7768761105120873
8,4,0.23878534286448427,0.8362459230462782,1.5941574689820301
8,5,-4.658865740816582,-1.5535349724720988,-1.5141958743500836
9,1,0.41946949047747245,-0.5923394608422168,-0.036167989106031445
9,2,0.1674944047006,-0.47826375478898175,-0.12493111450408073
9,3,-0.6718101784158133,-0.4430872343093337,0.7249031615845937
9,4,1.6799638763913936,-0.5048089753397607,-0.6608362769323961
9,5,1.8186319156336772,0.8799668039627213,1.1184023638257854
10,1,-2.028140130425969,-0.89476983531499,-0.6994797005626516
10,2,-1.2572190955659592,-0.7661940564418137,-0.5795168571565936
10,3,0.6452585393760281,0.1468712576621547,-0.853883188041666
10,4,0.3321103539515197,-0.38715880550669546,-0.38602021937825254
10,5,1.7517221770448288,0.9977772972196641,0.33411094298428
11,1,1.73856395345275,0.059577019601862194,-0.4188179950550986
11,2,-1.102777648304571,-0.835948696066531,-1.7799962359752983
11,3,-1.5095010931872066,-0.8465810880298987,-0.7645169144055508
11,4,0.3724759273421939,-0.7284677842460854,-0.6762947212278209
11,5,-1.813483518929774,-1.236396221813525,-1.7342934347462813
12,1,-0.376415458827155,-1.0374350439716533,-0.9206061385242444
12,2,1.2163044922812802,-0.3239058727274309,-0.4617733438969262
12,3,3.4399681994527223,1.1090339967822427,1.0294889450431641
12,4,1.5151049378765327,-0.09298055094810237,1.6754704287978628
12,5,0.7456038554775682,0.03383944210741251,0.5848070599255702
13,1,1.18148224634096,0.4505142203018083,0.45152524684087886
13,2,1.5538416079760466,0.27833216233743746,0.4953640190540399
13,3,2.678839006273165,1.2915197735735733,0.46380771249811104
13,4,1.184792055797288,-0.3403272485239098,-0.15343733991571337
13,5,0.9308579300592308,0.9607716445205934,2.1875039769014024
14,1,1.8240637713779442,-0.08137413171438657,-0.5153872472111705
14,2,1.2917089593436561,0.20299641944095553,0.6174846832049804
