y,x1,g
0.0,-0.6470890138540358,1
1.0,-1.1123650999697778,1
1.0,-1.439758030416681,1
0.0,-0.7160554764383178,1
0.0,-1.9551775063010177,1
0.0,-1.4409159646148706,1
0.0,-1.1731811671102006,2
0.0,0.3285716866340161,2
0.0,-0.4547792205081741,2
1.0,0.7257313326994446,2
1.0,0.8517230465667001,2
1.0,0.43276062175098945,2
0.0,-1.7164440214696617,3
0.0,-0.42027229745682115,3
0.0,-0.7933529687394748,3
1.0,-1.1436589004719486,3
0.0,-1.7594047103877486,3
1.0,0.49183165526069095,3
0.0,-0.9312721189315779,4
0.0,0.2099241915322374,4
0.0,-0.05331613545039395,4
0.0,1.7032933880073025,4
0.0,-0.11552448803029126,4
0.0,1.9028137159330702,4
0.0,-1.310028074008406,5
1.0,-0.3693700855611458,5
0.0,1.4883665643426494,5
1.0,0.632569824863165,5
0.0,-1.1147605649300105,5
0.0,-1.4551986896314828,5
1.0,0.02128668604841313,6
1.0,0.508806069953095,6
0.0,0.32613846154237247,6
0.0,2.2853106868386734,6
0.0,-1.184195584894176,6
0.0,-1.331419085582357,6
0.0,-0.7149200311498167,7
1.0,0.3909239943774497,7
0.0,-1.2177436972254172,7
0.0,1.1178317392209896,7
0.0,-0.29897145055537544,7
0.0,1.5903440494153156,7
0.0,-0.4663725522741372,8
0.0,1.814882143348964,8
0.0,1.752855732996361,8
1.0,-0.02264564414535996,8
1.0,-0.4041062698651099,8
0.0,-0.32095732851085207,8
0.0,-0.1378276942175284,9
0.0,-1.730508640858891,9
0.0,-1.0838475930376519,9
0.0,-1.645975175628994,9
0.0,0.11707154127490699,9
0.0,1.2877335436032948,9
0.0,0.6458676991438032,10
1.0,0.13494312559190202,10
1.0,0.39103870258231643,10
0.0,-0.30467719672124977,10
0.0,-0.02747941768120661,10
1.0,0.1099061555011252,10
