y,x1,x2,x3,g
1.0,1.2980092014243532,0.9657338043462953,2.5960184028487063,1.0
0.0,0.2479518102135849,-1.1706619181923177,0.4959036204271698,1.0
,1.5330190410356608,0.10211609271537371,3.0660380820713216,1.0
0.0,-0.6595418050924622,0.9097742527841562,-1.3190836101849244,1.0
0.0,0.8032855693855104,-0.5608356260391224,1.6065711387710209,1.0
,-1.6851832148484651,-0.20200644811026802,-3.3703664296969302,1.0
0.0,-0.1499948832712033,0.2806590704223619,-0.2999897665424066,2.0
0.0,0.0979549234471442,1.1203466360145513,0.1959098468942884,2.0
0.0,-0.2679168948671684,,-0.5358337897343368,2.0
1.0,-1.0627073149271633,-0.46354084670449075,-2.1254146298543266,2.0
1.0,1.5164665525632581,1.3568194963491158,3.0329331051265163,2.0
1.0,1.3460457149666072,-0.860706927659848,2.6920914299332144,2.0
1.0,-0.08278686274776145,-0.5356566022309307,-0.1655737254955229,3.0
0.0,0.9711916794400612,0.2813776759220186,1.9423833588801225,3.0
1.0,0.006060410010779173,-3.0926124067926355,0.012120820021558346,3.0
1.0,0.8096629229645061,-0.2701186240351039,1.6193258459290123,3.0
0.0,-1.0106074948695094,-0.6815491642701895,-2.021214989739019,3.0
0.0,1.7176737365942711,-0.6264178066751624,3.4353474731885423,3.0
1.0,-0.16080769394638503,-0.3176516029170335,-0.32161538789277005,4.0
1.0,2.5296875540312738,-1.067292928230377,5.0593751080625475,4.0
0.0,-0.8869138755143939,1.8787765441701227,-1.7738277510287879,4.0
0.0,-1.218613178448337,0.14708522301866797,-2.437226356896674,4.0
1.0,1.3329620639583624,-0.03664784012533923,2.6659241279167247,4.0
0.0,-1.1566486628133268,0.4823130660132171,-2.3132973256266536,4.0
0.0,-0.738533682656171,-1.0573543585381697,-1.477067365312342,5.0
0.0,0.9955678431547533,,1.9911356863095067,5.0
0.0,0.3231644841066361,-0.7052308563516193,0.6463289682132722,5.0
1.0,-0.265666174581362,0.8465135152377564,-0.531332349162724,5.0
0.0,-0.7505003854442913,-0.05129632645860702,-1.5010007708885826,5.0
0.0,0.9334118159979948,0.704897929843068,1.8668236319959897,5.0
