firm,year,industry,y,x
1,1,1,2.0097031928871014,-0.021774359311420077
1,2,1,3.87675983184761,1.2333765729969435
1,3,1,4.0993544572363225,1.6463427951975818
1,4,1,1.6431356689073442,-0.7834377572812279
2,1,1,2.0542134807131753,0.819350351910574
2,2,1,2.93938889289382,0.18507596039554125
2,3,1,4.360916004130049,0.811332465092742
2,4,1,5.327561729085483,1.9037997974816918
3,1,1,0.3988227299236748,-1.1434587877545674
3,2,1,2.2877714846641597,-0.4601345210415453
3,3,1,1.482619013796533,0.09239119923773909
3,4,1,-0.15846364611278974,-1.6968575894610998
4,1,1,0.6214844622086635,-1.3611766339252476
4,2,1,3.3176452197426207,0.15343010300902163
4,3,1,5.2315173301423545,1.0014218804249682
4,4,1,3.514380183362468,0.5349692731377272
5,1,2,-0.8975521358221378,-0.5699395036428141
5,2,2,-0.8822687127957712,-0.07946458306528448
5,3,2,0.3202542415061164,0.40421245016530827
5,4,2,0.5376256766035314,0.31689817581667257
6,1,2,0.02071149543801548,-1.5398936243664636
6,2,2,-0.5626103864285105,-1.6414310768675473
6,3,2,3.1323457822554555,0.7623721758258172
6,4,2,-0.5691265588234249,-1.8298444587716625
7,1,2,0.4405368018440957,0.8049605223255655
7,2,2,-0.09642057353615635,0.5498362650071656
7,3,2,-0.7117791780963627,-0.8009229004214011
7,4,2,-0.49391431779900075,-0.010070410980640362
8,1,2,-0.18571875159897844,0.5498113113229147
8,2,2,0.31369467416354535,-0.4650646975368861
8,3,2,-1.5296049531311438,-0.9027103366832187
8,4,2,0.04130623964063035,0.5494545385848426
9,1,3,0.5969439558256749,0.5680507959732979
9,2,3,1.0565428306263573,1.0751180433570895
9,3,3,-1.289828072980305,-1.046852156405603
9,4,3,0.7653613466622389,0.3183118479615702
10,1,3,0.4862433761849321,-0.024463635069136725
10,2,3,2.230272674665221,0.9604038496478754
10,3,3,0.9404714674912256,-0.3139183550383142
10,4,3,-0.6920148097843635,-1.0603701249734545
11,1,3,0.1643948453113906,0.3055333980264612
11,2,3,-2.816758607474882,-1.7074255362814024
11,3,3,-1.0698788272883857,-1.0200356485246096
11,4,3,0.2178258749743579,-0.19434936202571693
12,1,3,4.244975388151712,1.148113050280339
12,2,3,-0.6622429994465739,-1.453663096155104
12,3,3,1.1577619151794887,-0.49219488415192625
12,4,3,1.0443191992901146,-0.4529185594147947
13,1,4,-2.8071479844546285,-2.01905139018261
13,2,4,0.7435081204645843,0.3547417660129696
13,3,4,-0.9034968971947068,-0.6318514100526689
13,4,4,0.06728179282525865,-0.3286003532451279
14,1,4,2.0536216542988903,0.1563119513918439
14,2,4,-0.5910271513264264,-1.272296277699757
14,3,4,0.11009045998224462,-1.243973380141619
14,4,4,3.7391074249834455,1.3315305341743924
15,1,4,2.875643383029001,-0.08874895301874972
15,2,4,4.695356495927612,1.0402010161519892
15,3,4,4.830235725190723,1.3976392304712868
15,4,4,3.8224714294483944,0.3371017777474376
16,1,4,-1.608453384536635,-0.9879289954863884
16,2,4,4.076581151211531,1.8131680625952977
16,3,4,0.2560419303060323,-0.2723807995589125
16,4,4,-0.18866068393314817,-0.5956381146263741
17,1,5,-0.5398931925811923,0.6069138678539967
17,2,5,0.7833707534201625,1.0925717541185862
17,3,5,-0.40223435112207323,0.7459648177367237
17,4,5,-1.7044401791643626,-0.1756299476103895
18,1,5,4.750314968666317,1.1356515101144677
18,2,5,2.7583596515207263,-0.5266951695766164
18,3,5,3.846236427437931,0.6116759916768358
18,4,5,3.0015684674178877,-0.03357813497332557
19,1,5,1.2160207041697353,-0.7157807428774806
19,2,5,2.9873769567846944,0.9111099224789001
19,3,5,4.734877992178871,0.7046624562683836
19,4,5,1.5945779897861292,-0.30756474224941177
20,1,5,1.1334199983510986,-0.3539708865278194
20,2,5,2.5042003058436597,0.34182834572048626
20,3,5,2.8122492505172345,1.203636149567563
20,4,5,3.6582099666740087,1.6495934319962786
21,1,6,-1.740095176237109,-0.7734979410869649
21,2,6,-0.5686134814954318,0.37635856658040756
21,3,6,0.39108349537275616,0.7552835515859647
21,4,6,-2.27899381586974,-1.369158258816047
22,1,6,0.06747601911943912,-0.3742698655050306
22,2,6,-2.077939109478402,-1.746317432172182
22,3,6,0.16330022826680593,-0.3901740054027686
22,4,6,0.26979136945007776,0.39970229735950424
23,1,6,-2.4309112571338063,0.029800926994277332
23,2,6,-0.2085772422907577,0.62230163320278
23,3,6,-1.9531375607581707,-0.19252012053215112
23,4,6,-4.51328287453027,-1.4272006323739954
24,1,6,-1.9759077706445425,-0.3293493868859567
24,2,6,0.9431902920373394,1.1890277119346933
24,3,6,-2.645066763799458,-1.4960547821797716
24,4,6,1.6999762444619488,1.9063056348763965
