entity_id,time_id,x1,x_const,eta,y
1,1,0.4490347159131151,1.0,0.745304040507418,1
1,2,-1.6286706380869385,1.0,-0.2935486364926087,1
1,3,-0.28857965596545415,1.0,0.37649685456813353,0
1,4,0.9965050076207455,1.0,1.0190391863612334,2
1,5,-0.6818903515687011,1.0,0.17984150676651,0
1,6,-0.037988742497124764,1.0,0.5017923113022982,0
2,1,-0.6444408750651753,2.0,3.276461245760685,17
2,2,1.1039337442504336,2.0,4.150648555418489,77
2,3,0.07364763837726501,2.0,3.635505502481905,35
2,4,1.0318653615711455,2.0,4.114614364078845,71
2,5,1.081405893303349,2.0,4.1393846299449475,51
2,6,1.313340401714269,2.0,4.255351884150407,62
3,1,-0.09887213839026167,3.0,0.36815122662049504,4
3,2,-0.8309091756573566,3.0,0.0021327079869476184,1
3,3,-0.533213795327615,3.0,0.15098039815181838,0
3,4,0.1323125234807195,3.0,0.48374355755598564,1
3,5,0.1080735474994299,3.0,0.47162406956534086,3
3,6,-1.2666984641099588,3.0,-0.2157619362393535,1
4,1,2.9513089310162908,4.0,1.9927626224992259,9
4,2,-0.40322743306836045,4.0,0.31549444045690045,3
4,3,-0.40902716915927223,4.0,0.3125945724114445,0
4,4,-0.7639454213711684,4.0,0.13513544630549645,1
4,5,-0.27437671451088524,4.0,0.37991979973563805,2
4,6,-1.4078255656159102,4.0,-0.1868046258168744,2
5,1,-0.4010607717997722,5.0,-0.07060353745909667,2
5,2,-1.1770015788339099,5.0,-0.45857394097616555,1
5,3,0.316603712330157,5.0,0.2882287046058679,1
5,4,-2.508735003521456,5.0,-1.1244406533199387,0
5,5,-1.2001388024746502,5.0,-0.4701425527965357,1
5,6,-1.315482283234917,5.0,-0.5278142931766691,1
6,1,-0.7828626181289635,6.0,-0.14524495663901213,1
6,2,-1.4644642966295895,6.0,-0.48604579588932506,0
6,3,0.47071551090910924,6.0,0.4815441078800242,1
6,4,-1.2545665519423648,6.0,-0.3810969235457128,2
6,5,-1.1476578944918316,6.0,-0.3276425948204462,0
6,6,-0.27022064198194096,6.0,0.11107603143449915,1
7,1,-0.8224319625958998,7.0,1.3955200691802876,2
7,2,0.8072194079545305,7.0,2.2103457544555027,6
7,3,0.3021767883849434,7.0,1.9578244446707092,4
7,4,-0.9375507523522228,7.0,1.3379606743021262,8
7,5,0.7040353977660783,7.0,2.158753749361277,11
7,6,-0.049888800588118336,7.0,1.7817916501841784,6
8,1,1.0828848743131125,8.0,0.1296114990610172,1
8,2,0.35194920172772026,8.0,-0.23585633723167887,0
8,3,-0.09811184248398616,8.0,-0.4608868593375321,2
8,4,0.33497346215889573,8.0,-0.24434420701609116,1
8,5,-0.7118183725116993,8.0,-0.7677401243513886,1
8,6,-0.7937187243319918,8.0,-0.8086903002615349,0
9,1,-1.8185866687303094,9.0,-1.7603801253377873,0
9,2,-0.08912826963114161,9.0,-0.8956509257882035,2
9,3,-0.4682723022923433,9.0,-1.0852229421188042,0
9,4,0.3976458397285169,9.0,-0.6522638711083742,0
9,5,0.22564234586803747,9.0,-0.738265618038614,0
9,6,1.5911689982925985,9.0,-0.05550229182633348,1
10,1,-0.7328992426163748,10.0,1.449358765774034,2
10,2,-1.2943067512026503,10.0,1.1686550114808965,0
10,3,2.0158823273526036,10.0,2.8237495507585235,20
10,4,-0.5749879637353841,10.0,1.5283144052145294,8
10,5,-0.6115258720237772,10.0,1.510045451070333,5
10,6,-0.16954928571551287,10.0,1.7310337442244652,5
11,1,0.3516551721127073,11.0,1.098640231406168,2
11,2,0.25448938975891017,11.0,1.0500573402292694,3
11,3,0.07761975143369787,11.0,0.9616225210666632,6
11,4,-0.6334176494129286,11.0,0.60610382064335,0
11,5,-0.03583224009101155,11.0,0.9048965253043085,2
11,6,0.935499719669782,11.0,1.3905625051847053,5
12,1,-0.5599221120391329,12.0,-0.6257804937350258,0
12,2,1.636830596276921,12.0,0.47259586042300106,2
12,3,0.39455115178043487,12.0,-0.14854386182524193,0
12,4,-0.07580306626571741,12.0,-0.3837209708483181,0
12,5,-0.9627407600672071,12.0,-0.8271898177490629,0
12,6,2.460382817976149,12.0,0.8843719712726151,0
13,1,-0.42513224182015286,13.0,-1.2581636785803065,0
13,2,-1.368183914812243,13.0,-1.7296895150763516,0
13,3,1.756830303567279,13.0,-0.1671824058865905,1
13,4,2.2045624153350407,13.0,0.05668364999729025,0
13,5,0.44805898451228515,13.0,-0.8215680654140874,1
13,6,-0.5304827790928098,13.0,-1.3108389472166349,1
14,1,0.5646712511031874,14.0,0.6897804685984597,2
14,2,0.5349219271633617,14.0,0.6749058066285469,1
14,3,0.8090045139478048,14.0,0.8119471000207685,1
14,4,-0.8286288223120029,14.0,-0.0068695681091354155,0
14,5,-0.6169309569216833,14.0,0.09897936458602435,0
14,6,0.15320260041340847,14.0,0.48404614325357026,1
15,1,-0.508026959163316,15.0,0.9151028357923168,3
15,2,1.3458640234184156,15.0,1.8420483270831824,7
15,3,0.0651538844558954,15.0,1.2016932576019224,1
15,4,0.01642226497672461,15.0,1.177327447862337,3
15,5,-0.6795321887327077,15.0,0.8293502210076209,2
15,6,1.0887958804770548,15.0,1.7135142556125023,5
16,1,0.9423213106114537,16.0,-0.8906396881902198,1
